ID,group,hsa-miR-451a,hsa-miR-183-5p,hsa-miR-139-5p,hsa-miR-144-3p,hsa-miR-152-3p,hsa-miR-200c-3p,hsa-miR-26a-5p,hsa-miR-3135b,hsa-miR-126-5p,hsa-miR-144-5p
Var_1,Normal,-6.47,9.3,7,5.05,7.54,10.675,4.265,4.275,5.44,8.86
Var_2,Normal,-7.06,7.32,5.82,3.72,6.535,8.23,2.905,-0.7,4.47,7.46
Var_3,Normal,-6.06,9.125,6.515,5.395,7.72,10.61,3.7,2.925,4.735,7.855
Var_4,Normal,-4.795,10.525,8.19,7.055,8.37,10.69,5.83,3.685,7.16,10.265
Var_5,Normal,-4.525,9.555,6.805,7.65,8.36,11.485,6.26,2.935,8.69,11.39
Var_6,Normal,-5.56,9.155,6.23,7.78,6.76,10.295,3.235,2.53,6.385,9.525
Var_7,Normal,-5.82,9.375,6.395,7.505,8.645,10.905,6.21,3.955,8.225,10.165
Var_8,Normal,-5.825,8.725,7.05,7.395,7.76,10.595,4.85,3.645,6.89,9.97
Var_9,Normal,-4.795,9.58,7.26,7.07,8.495,11.785,4.495,4.605,7.245,10.04
Var_10,Normal,-5.62,10.62,7.715,6.485,7.825,10.415,5.47,4.145,7.925,9.37
Var_11,Normal,-3.24,11.675,7.53,8.89,9.865,12.545,8.41,3.33,10.65,12.775
Var_12,Normal,-6.46,8.785,5.94,7.075,6.945,8.39,4.93,3.175,6.945,9.74
Var_13,Normal,-6.87,7.33,7.61,5.85,7.705,10.05,4.64,4.365,6.355,9.125
Var_14,Normal,-7.29,7.7,6.01,6.785,6.895,9.835,4.44,2.605,6.28,8.625
Var_15,Normal,-6.83,8.79,7.355,6.555,7.405,9.945,4.13,3.98,6.415,8.97
Var_16,Normal,-6.33,9.01,6.62,5.98,7.98,10.09,3.225,3.16,6.41,8.645
Var_17,Normal,-7.48,8.12,7.225,5.245,7.69,10.605,4.775,5.26,6.52,8.35
Var_18,Normal,-6.035,9.74,7.43,6.81,8.56,11.34,5.82,5.14,7.735,9.315
Var_19,Normal,-6.93,8.37,6.56,5.875,7.235,9.585,3.53,3.29,4.99,8.345
Var_20,Normal,-6.04,9.13,7.165,6.42,8.79,11.11,5.895,4.7,7.71,9.88
Var_21,Normal,-6.93,7.765,6.565,4.885,7.54,10.205,4.73,2.99,6.375,8.31
Var_22,Normal,-6.58,8.51,6.595,5.95,6.795,9.835,4.23,2.7,5.87,9.15
Var_23,Normal,-6.62,9.45,7.795,5.76,8.31,9.765,4.96,4.97,6.18,8.48
Var_24,Normal,-5.48,9.865,8.39,6.505,8.395,10.305,5.31,6.12,6.675,8.745
Var_25,Normal,-5.295,9.665,7.035,6.83,6.61,9.645,3.37,3.77,5.375,9.095
Var_26,Normal,-5.17,9.26,7.675,6.73,8.105,10.95,5.065,5.415,6.625,8.95
Var_27,Normal,-5.215,9.275,7.29,6.15,7.995,9.95,4.445,3.86,6.325,8.59
Var_28,Normal,-7.1,7.795,6.75,5.765,6.165,9.03,2.46,3.025,3.965,7.905
Var_29,Normal,-6.64,8.33,6.385,5.895,6.595,9.305,2.95,2.815,4.675,8.675
Var_30,Normal,-6.805,9.27,7.07,6.42,7.735,9.55,3.885,4.345,5.76,8.475
Var_31,Normal,-6.155,8.905,6.33,6.88,7.365,10.625,4.905,3.645,7.56,8.295
Var_32,Normal,-5.435,8.805,4.855,7.13,8.815,9.825,9.68,0.535,11.225,9.365
Var_33,Normal,-5.495,7.92,6.62,7.015,8.495,11.355,7.86,2.57,9.07,9.47
Var_34,Normal,-7.095,7.75,6.455,6.175,6.805,9.33,3.465,1.85,5.945,7.98
Var_35,Normal,-8.04,5.575,5.85,4.155,5.795,8.56,2.395,1.21,3.485,5.91
