ID,group,hsa-miR-3135b,hsa-miR-126-5p,hsa-miR-151a-3p,hsa-miR-152-3p,hsa-miR-151b,hsa-miR-151a-5p,hsa-miR-139-5p,hsa-miR-550a-3p,hsa-miR-26a-5p
Var_1,Normal,4.18,7.11,5.045,7.655,5.15,4.35,6.83,7.91,3.905
Var_2,Normal,-0.745,5.71,3.21,6.52,4.145,3.11,5.9,6.62,2.765
Var_3,Normal,2.65,6.575,3.93,7.625,4.765,3.745,6.34,9.5,3.525
Var_4,Normal,3.73,8.425,4.55,8.49,5.9,4.795,7.535,8.93,5.59
Var_5,Normal,3.005,9.16,4.015,8.28,5.985,4.805,6.585,9.01,5.705
Var_6,Normal,2.085,5.355,2.63,6.12,4.03,2.775,6.37,8.345,2.665
Var_7,Normal,3.7,8.675,4.195,8.215,5.63,4.43,6.19,7.725,5.95
Var_8,Normal,3.695,7.16,3.835,7.525,4.91,3.83,6.78,8.535,4.205
Var_9,Normal,4.37,7.875,5.185,8.04,6.23,5.095,7.37,9.065,4.26
Var_10,Normal,3.935,8.285,4.62,7.78,5.17,4.415,7.865,8.715,5.145
Var_11,Normal,3.305,10.775,4.47,8.71,7.28,5.855,7.57,9.56,8.115
Var_12,Normal,3.015,7.455,3.495,6.915,4.6,3.595,5.995,7.74,4.465
Var_13,Normal,4.145,6.975,3.775,7.595,4.29,3.25,7.325,7.33,4.33
Var_14,Normal,2.58,7.09,2.735,6.845,3.85,2.775,6,7.235,4.13
Var_15,Normal,3.875,6.97,4.085,7.485,4.515,3.665,7.2,8.795,3.73
Var_16,Normal,3.185,6.9,4.55,7.89,4.825,3.78,6.625,8.54,3.01
Var_17,Normal,4.855,7.01,5.29,7.585,4.76,3.975,7.125,7.155,4.57
Var_18,Normal,4.855,8.35,5.315,8.45,6.005,4.745,7.37,8.215,5.335
Var_19,Normal,2.935,5.445,3.23,7.055,3.935,2.81,6.715,7.93,3.085
Var_20,Normal,4.47,8.175,5.44,8.72,6.665,5.8,7.355,7.94,5.705
Var_21,Normal,2.83,7.51,3.22,7.56,4.405,3.43,6.625,7.67,4.655
Var_22,Normal,2.625,6.89,2.49,6.41,3.88,3.035,6.395,7.73,4.04
Var_23,Normal,4.91,7.42,5.07,8.075,5.28,4.565,7.615,8.52,4.785
Var_24,Normal,5.925,7.79,6.05,8.475,6.36,5.18,7.72,9.135,5.105
